date,META
2017-01-01,26
2017-01-02,31
2017-01-03,33
2017-01-04,34
2017-01-05,41
2017-01-06,34
2017-01-07,31
2017-01-08,30
2017-01-09,33
2017-01-10,35
2017-01-11,35
2017-01-12,40
2017-01-13,33
2017-01-14,30
2017-01-15,27
2017-01-16,34
2017-01-17,38
2017-01-18,37
2017-01-19,40
2017-01-20,35
2017-01-21,31
2017-01-22,31
2017-01-23,38
2017-01-24,39
2017-01-25,37
2017-01-26,42
2017-01-27,37
2017-01-28,31
2017-01-29,29
2017-01-30,34
2017-01-31,36
2017-02-01,40
2017-02-02,43
2017-02-03,35
2017-02-04,30
2017-02-05,30
2017-02-06,33
2017-02-07,44
2017-02-08,48
2017-02-09,58
2017-02-10,82
2017-02-11,77
2017-02-12,100
2017-02-13,58
2017-02-14,49
2017-02-15,44
2017-02-16,53
2017-02-17,46
2017-02-18,38
2017-02-19,37
2017-02-20,43
2017-02-21,41
2017-02-22,43
2017-02-23,48
2017-02-24,42
2017-02-25,37
2017-02-26,38
2017-02-27,40
2017-02-28,41
2017-03-01,43
2017-03-02,50
2017-03-03,43
2017-03-04,36
2017-03-05,35
2017-03-06,41
2017-03-07,40
2017-03-08,39
2017-03-09,44
2017-03-10,39
2017-03-11,36
2017-03-12,33
2017-03-13,40
2017-03-14,42
2017-03-15,45
2017-03-16,45
2017-03-17,39
2017-03-18,32
2017-03-19,32
2017-03-20,36
2017-03-21,42
2017-03-22,40
2017-03-23,44
2017-03-24,40
2017-03-25,40
2017-03-26,37
2017-03-27,40
2017-03-28,41
2017-03-29,41
2017-03-30,45
2017-03-31,41
2017-04-01,37
