date,AMZN
2021-07-01,21
2021-07-02,25
2021-07-03,9
2021-07-04,6
2021-07-05,12
2021-07-06,45
2021-07-07,50
2021-07-08,43
2021-07-09,39
2021-07-10,9
2021-07-11,6
2021-07-12,29
2021-07-13,33
2021-07-14,31
2021-07-15,31
2021-07-16,27
2021-07-17,8
2021-07-18,6
2021-07-19,31
2021-07-20,36
2021-07-21,31
2021-07-22,27
2021-07-23,28
2021-07-24,9
2021-07-25,7
2021-07-26,29
2021-07-27,34
2021-07-28,33
2021-07-29,66
2021-07-30,100
2021-07-31,19
2021-08-01,13
2021-08-02,41
2021-08-03,34
2021-08-04,34
2021-08-05,30
2021-08-06,28
2021-08-07,7
2021-08-08,4
2021-08-09,26
2021-08-10,25
2021-08-11,27
2021-08-12,26
2021-08-13,24
2021-08-14,10
2021-08-15,6
2021-08-16,24
2021-08-17,28
2021-08-18,28
2021-08-19,31
2021-08-20,30
2021-08-21,9
2021-08-22,6
2021-08-23,29
2021-08-24,39
2021-08-25,25
2021-08-26,25
2021-08-27,24
2021-08-28,7
2021-08-29,5
2021-08-30,28
2021-08-31,31
2021-09-01,29
2021-09-02,27
2021-09-03,27
2021-09-04,6
2021-09-05,6
2021-09-06,8
2021-09-07,24
2021-09-08,23
2021-09-09,24
2021-09-10,23
2021-09-11,7
2021-09-12,6
2021-09-13,22
2021-09-14,20
2021-09-15,20
2021-09-16,20
2021-09-17,20
2021-09-18,5
2021-09-19,6
2021-09-20,24
2021-09-21,25
2021-09-22,19
2021-09-23,20
2021-09-24,20
2021-09-25,5
2021-09-26,5
2021-09-27,20
2021-09-28,25
2021-09-29,22
2021-09-30,22
2021-10-01,21
