date,AAPL
2016-10-01,7
2016-10-02,7
2016-10-03,30
2016-10-04,31
2016-10-05,31
2016-10-06,33
2016-10-07,28
2016-10-08,6
2016-10-09,6
2016-10-10,37
2016-10-11,55
2016-10-12,47
2016-10-13,42
2016-10-14,33
2016-10-15,10
2016-10-16,7
2016-10-17,34
2016-10-18,37
2016-10-19,37
2016-10-20,33
2016-10-21,29
2016-10-22,7
2016-10-23,6
2016-10-24,37
2016-10-25,100
2016-10-26,100
2016-10-27,59
2016-10-28,50
2016-10-29,10
2016-10-30,7
2016-10-31,34
2016-11-01,35
2016-11-02,35
2016-11-03,31
2016-11-04,29
2016-11-05,8
2016-11-06,6
2016-11-07,35
2016-11-08,32
2016-11-09,66
2016-11-10,48
2016-11-11,36
2016-11-12,9
2016-11-13,6
2016-11-14,41
2016-11-15,35
2016-11-16,35
2016-11-17,33
2016-11-18,30
2016-11-19,8
2016-11-20,6
2016-11-21,30
2016-11-22,34
2016-11-23,27
2016-11-24,11
2016-11-25,20
2016-11-26,6
2016-11-27,7
2016-11-28,24
2016-11-29,29
2016-11-30,27
2016-12-01,23
2016-12-02,23
2016-12-03,6
2016-12-04,6
2016-12-05,24
2016-12-06,25
2016-12-07,28
2016-12-08,30
2016-12-09,29
2016-12-10,9
2016-12-11,5
2016-12-12,28
2016-12-13,33
2016-12-14,34
2016-12-15,32
2016-12-16,29
2016-12-17,8
2016-12-18,5
2016-12-19,28
2016-12-20,28
2016-12-21,26
2016-12-22,25
2016-12-23,21
2016-12-24,7
2016-12-25,4
2016-12-26,11
2016-12-27,23
2016-12-28,22
2016-12-29,22
2016-12-30,24
2016-12-31,10
2017-01-01,5
