date,GOOG
2022-04-01,53
2022-04-02,40
2022-04-03,39
2022-04-04,59
2022-04-05,57
2022-04-06,58
2022-04-07,54
2022-04-08,53
2022-04-09,40
2022-04-10,36
2022-04-11,59
2022-04-12,58
2022-04-13,58
2022-04-14,57
2022-04-15,46
2022-04-16,37
2022-04-17,36
2022-04-18,58
2022-04-19,57
2022-04-20,57
2022-04-21,57
2022-04-22,66
2022-04-23,47
2022-04-24,38
2022-04-25,72
2022-04-26,100
2022-04-27,94
2022-04-28,73
2022-04-29,65
2022-04-30,48
2022-05-01,39
2022-05-02,65
2022-05-03,62
2022-05-04,58
2022-05-05,58
2022-05-06,62
2022-05-07,41
2022-05-08,39
2022-05-09,70
2022-05-10,62
2022-05-11,67
2022-05-12,63
2022-05-13,62
2022-05-14,41
2022-05-15,38
2022-05-16,60
2022-05-17,61
2022-05-18,61
2022-05-19,58
2022-05-20,57
2022-05-21,40
2022-05-22,38
2022-05-23,62
2022-05-24,69
2022-05-25,63
2022-05-26,62
2022-05-27,60
2022-05-28,37
2022-05-29,37
2022-05-30,44
2022-05-31,56
2022-06-01,57
2022-06-02,54
2022-06-03,53
2022-06-04,33
2022-06-05,32
2022-06-06,57
2022-06-07,55
2022-06-08,49
2022-06-09,55
2022-06-10,50
2022-06-11,35
2022-06-12,32
2022-06-13,59
2022-06-14,57
2022-06-15,54
2022-06-16,51
2022-06-17,46
2022-06-18,35
2022-06-19,35
2022-06-20,44
2022-06-21,53
2022-06-22,51
2022-06-23,46
2022-06-24,49
2022-06-25,35
2022-06-26,33
2022-06-27,56
2022-06-28,48
2022-06-29,48
2022-06-30,50
2022-07-01,43
