date,MSFT
2018-10-01,27
2018-10-02,33
2018-10-03,30
2018-10-04,33
2018-10-05,31
2018-10-06,9
2018-10-07,6
2018-10-08,31
2018-10-09,36
2018-10-10,43
2018-10-11,59
2018-10-12,41
2018-10-13,17
2018-10-14,7
2018-10-15,34
2018-10-16,39
2018-10-17,37
2018-10-18,34
2018-10-19,33
2018-10-20,9
2018-10-21,5
2018-10-22,35
2018-10-23,41
2018-10-24,100
2018-10-25,86
2018-10-26,57
2018-10-27,18
2018-10-28,8
2018-10-29,42
2018-10-30,46
2018-10-31,43
2018-11-01,39
2018-11-02,40
2018-11-03,10
2018-11-04,5
2018-11-05,34
2018-11-06,31
2018-11-07,40
2018-11-08,36
2018-11-09,32
2018-11-10,10
2018-11-11,7
2018-11-12,28
2018-11-13,31
2018-11-14,30
2018-11-15,32
2018-11-16,28
2018-11-17,8
2018-11-18,6
2018-11-19,30
2018-11-20,42
2018-11-21,39
2018-11-22,13
2018-11-23,21
2018-11-24,15
2018-11-25,10
2018-11-26,35
2018-11-27,43
2018-11-28,45
2018-11-29,46
2018-11-30,37
2018-12-01,17
2018-12-02,8
2018-12-03,48
2018-12-04,43
2018-12-05,22
2018-12-06,37
2018-12-07,34
2018-12-08,14
2018-12-09,7
2018-12-10,35
2018-12-11,32
2018-12-12,39
2018-12-13,33
2018-12-14,31
2018-12-15,14
2018-12-16,8
2018-12-17,32
2018-12-18,36
2018-12-19,36
2018-12-20,38
2018-12-21,47
2018-12-22,17
2018-12-23,11
2018-12-24,37
2018-12-25,15
2018-12-26,44
2018-12-27,47
2018-12-28,39
2018-12-29,12
2018-12-30,6
2018-12-31,31
2019-01-01,12
