date,MSFT
2016-07-01,23
2016-07-02,9
2016-07-03,5
2016-07-04,9
2016-07-05,16
2016-07-06,20
2016-07-07,26
2016-07-08,27
2016-07-09,9
2016-07-10,4
2016-07-11,28
2016-07-12,31
2016-07-13,21
2016-07-14,24
2016-07-15,24
2016-07-16,7
2016-07-17,4
2016-07-18,31
2016-07-19,93
2016-07-20,100
2016-07-21,55
2016-07-22,36
2016-07-23,11
2016-07-24,10
2016-07-25,27
2016-07-26,29
2016-07-27,29
2016-07-28,27
2016-07-29,27
2016-07-30,10
2016-07-31,7
2016-08-01,21
2016-08-02,22
2016-08-03,20
2016-08-04,24
2016-08-05,29
2016-08-06,8
2016-08-07,7
2016-08-08,23
2016-08-09,22
2016-08-10,20
2016-08-11,25
2016-08-12,17
2016-08-13,7
2016-08-14,4
2016-08-15,24
2016-08-16,23
2016-08-17,23
2016-08-18,19
2016-08-19,20
2016-08-20,4
2016-08-21,4
2016-08-22,24
2016-08-23,20
2016-08-24,25
2016-08-25,21
2016-08-26,20
2016-08-27,5
2016-08-28,4
2016-08-29,14
2016-08-30,22
2016-08-31,22
2016-09-01,24
2016-09-02,24
2016-09-03,7
2016-09-04,9
2016-09-05,4
2016-09-06,16
2016-09-07,24
2016-09-08,22
2016-09-09,29
2016-09-10,10
2016-09-11,6
2016-09-12,20
2016-09-13,19
2016-09-14,21
2016-09-15,22
2016-09-16,19
2016-09-17,7
2016-09-18,3
2016-09-19,18
2016-09-20,28
2016-09-21,35
2016-09-22,26
2016-09-23,26
2016-09-24,8
2016-09-25,8
2016-09-26,19
2016-09-27,24
2016-09-28,23
2016-09-29,19
2016-09-30,21
2016-10-01,7
