date,AMZN
2012-07-01,6
2012-07-02,22
2012-07-03,13
2012-07-04,8
2012-07-05,16
2012-07-06,25
2012-07-07,11
2012-07-08,6
2012-07-09,21
2012-07-10,28
2012-07-11,26
2012-07-12,25
2012-07-13,19
2012-07-14,10
2012-07-15,3
2012-07-16,15
2012-07-17,28
2012-07-18,26
2012-07-19,29
2012-07-20,18
2012-07-21,7
2012-07-22,7
2012-07-23,15
2012-07-24,27
2012-07-25,36
2012-07-26,100
2012-07-27,89
2012-07-28,29
2012-07-29,13
2012-07-30,26
2012-07-31,41
2012-08-01,31
2012-08-02,22
2012-08-03,19
2012-08-04,7
2012-08-05,8
2012-08-06,21
2012-08-07,30
2012-08-08,16
2012-08-09,33
2012-08-10,19
2012-08-11,17
2012-08-12,9
2012-08-13,16
2012-08-14,22
2012-08-15,20
2012-08-16,18
2012-08-17,28
2012-08-18,18
2012-08-19,12
2012-08-20,29
2012-08-21,25
2012-08-22,18
2012-08-23,24
2012-08-24,35
2012-08-25,13
2012-08-26,6
2012-08-27,29
2012-08-28,21
2012-08-29,29
2012-08-30,30
2012-08-31,29
2012-09-01,5
2012-09-02,6
2012-09-03,7
2012-09-04,33
2012-09-05,31
2012-09-06,92
2012-09-07,78
2012-09-08,34
2012-09-09,17
2012-09-10,32
2012-09-11,35
2012-09-12,29
2012-09-13,49
2012-09-14,40
2012-09-15,9
2012-09-16,5
2012-09-17,34
2012-09-18,31
2012-09-19,28
2012-09-20,36
2012-09-21,33
2012-09-22,11
2012-09-23,14
2012-09-24,24
2012-09-25,24
2012-09-26,26
2012-09-27,24
2012-09-28,16
2012-09-29,10
2012-09-30,12
2012-10-01,19
