date,AAPL
2018-04-01,4
2018-04-02,28
2018-04-03,26
2018-04-04,26
2018-04-05,26
2018-04-06,26
2018-04-07,6
2018-04-08,5
2018-04-09,23
2018-04-10,26
2018-04-11,24
2018-04-12,23
2018-04-13,23
2018-04-14,7
2018-04-15,5
2018-04-16,23
2018-04-17,25
2018-04-18,24
2018-04-19,29
2018-04-20,35
2018-04-21,8
2018-04-22,6
2018-04-23,29
2018-04-24,31
2018-04-25,31
2018-04-26,30
2018-04-27,28
2018-04-28,9
2018-04-29,5
2018-04-30,32
2018-05-01,100
2018-05-02,90
2018-05-03,38
2018-05-04,58
2018-05-05,15
2018-05-06,8
2018-05-07,43
2018-05-08,39
2018-05-09,36
2018-05-10,40
2018-05-11,38
2018-05-12,10
2018-05-13,6
2018-05-14,30
2018-05-15,26
2018-05-16,27
2018-05-17,25
2018-05-18,25
2018-05-19,6
2018-05-20,5
2018-05-21,25
2018-05-22,25
2018-05-23,24
2018-05-24,27
2018-05-25,21
2018-05-26,6
2018-05-27,4
2018-05-28,6
2018-05-29,23
2018-05-30,22
2018-05-31,21
2018-06-01,24
2018-06-02,8
2018-06-03,5
2018-06-04,34
2018-06-05,34
2018-06-06,29
2018-06-07,26
2018-06-08,27
2018-06-09,8
2018-06-10,5
2018-06-11,23
2018-06-12,22
2018-06-13,24
2018-06-14,24
2018-06-15,22
2018-06-16,6
2018-06-17,4
2018-06-18,19
2018-06-19,25
2018-06-20,23
2018-06-21,22
2018-06-22,20
2018-06-23,5
2018-06-24,4
2018-06-25,24
2018-06-26,21
2018-06-27,19
2018-06-28,21
2018-06-29,19
2018-06-30,5
2018-07-01,4
