date,MSFT
2013-10-01,45
2013-10-02,50
2013-10-03,33
2013-10-04,38
2013-10-05,19
2013-10-06,7
2013-10-07,25
2013-10-08,34
2013-10-09,30
2013-10-10,41
2013-10-11,35
2013-10-12,17
2013-10-13,9
2013-10-14,33
2013-10-15,41
2013-10-16,43
2013-10-17,46
2013-10-18,39
2013-10-19,20
2013-10-20,15
2013-10-21,39
2013-10-22,43
2013-10-23,42
2013-10-24,82
2013-10-25,100
2013-10-26,27
2013-10-27,18
2013-10-28,44
2013-10-29,43
2013-10-30,33
2013-10-31,29
2013-11-01,28
2013-11-02,14
2013-11-03,15
2013-11-04,27
2013-11-05,45
2013-11-06,65
2013-11-07,67
2013-11-08,38
2013-11-09,14
2013-11-10,15
2013-11-11,32
2013-11-12,38
2013-11-13,36
2013-11-14,37
2013-11-15,37
2013-11-16,13
2013-11-17,12
2013-11-18,34
2013-11-19,38
2013-11-20,42
2013-11-21,47
2013-11-22,44
2013-11-23,26
2013-11-24,15
2013-11-25,42
2013-11-26,40
2013-11-27,27
2013-11-28,17
2013-11-29,22
2013-11-30,21
2013-12-01,14
2013-12-02,40
2013-12-03,37
2013-12-04,38
2013-12-05,49
2013-12-06,44
2013-12-07,18
2013-12-08,12
2013-12-09,29
2013-12-10,43
2013-12-11,36
2013-12-12,44
2013-12-13,27
2013-12-14,13
2013-12-15,13
2013-12-16,32
2013-12-17,31
2013-12-18,36
2013-12-19,40
2013-12-20,31
2013-12-21,16
2013-12-22,6
2013-12-23,32
2013-12-24,32
2013-12-25,18
2013-12-26,29
2013-12-27,28
2013-12-28,15
2013-12-29,9
2013-12-30,25
2013-12-31,31
2014-01-01,15
