date,AMZN
2018-07-01,5
2018-07-02,17
2018-07-03,18
2018-07-04,6
2018-07-05,16
2018-07-06,18
2018-07-07,5
2018-07-08,4
2018-07-09,19
2018-07-10,21
2018-07-11,23
2018-07-12,29
2018-07-13,31
2018-07-14,8
2018-07-15,4
2018-07-16,46
2018-07-17,46
2018-07-18,34
2018-07-19,32
2018-07-20,27
2018-07-21,8
2018-07-22,5
2018-07-23,29
2018-07-24,31
2018-07-25,36
2018-07-26,100
2018-07-27,88
2018-07-28,16
2018-07-29,8
2018-07-30,34
2018-07-31,32
2018-08-01,31
2018-08-02,34
2018-08-03,31
2018-08-04,9
2018-08-05,5
2018-08-06,25
2018-08-07,29
2018-08-08,30
2018-08-09,31
2018-08-10,28
2018-08-11,8
2018-08-12,6
2018-08-13,27
2018-08-14,32
2018-08-15,32
2018-08-16,29
2018-08-17,27
2018-08-18,6
2018-08-19,5
2018-08-20,23
2018-08-21,26
2018-08-22,25
2018-08-23,25
2018-08-24,22
2018-08-25,7
2018-08-26,5
2018-08-27,26
2018-08-28,27
2018-08-29,47
2018-08-30,54
2018-08-31,38
2018-09-01,11
2018-09-02,6
2018-09-03,8
2018-09-04,48
2018-09-05,44
2018-09-06,37
2018-09-07,32
2018-09-08,10
2018-09-09,6
2018-09-10,28
2018-09-11,29
2018-09-12,29
2018-09-13,29
2018-09-14,29
2018-09-15,7
2018-09-16,4
2018-09-17,31
2018-09-18,33
2018-09-19,27
2018-09-20,31
2018-09-21,27
2018-09-22,7
2018-09-23,6
2018-09-24,25
2018-09-25,26
2018-09-26,29
2018-09-27,32
2018-09-28,28
2018-09-29,8
2018-09-30,6
2018-10-01,27
