Date,META
2012/8/3,43.19976389
2012/8/4,32.05143772
2012/8/5,30.19338336
2012/8/6,36.69657363
2012/8/7,45.98684543
2012/8/8,42.7352503
2012/8/9,44.12879107
2012/8/10,38.0901144
2012/8/11,33.44497849
2012/8/12,33.44497849
2012/8/13,39.94816876
2012/8/14,42.27073671
2012/8/15,38.0901144
2012/8/16,45.52233184
2012/8/17,39.94816876
2012/8/18,31.12241054
2012/8/19,35.76754645
2012/8/20,39.01914158
2012/8/21,39.48365517
2012/8/22,45.05781825
2012/8/23,45.05781825
2012/8/24,41.80622312
2012/8/25,32.9804649
2012/8/26,35.30303286
2012/8/27,41.34170953
2012/8/28,39.94816876
2012/8/29,40.41268235
2012/8/30,46.45135902
2012/8/31,40.87719594
2012/9/1,32.51595131
2012/9/2,30.19338336
2012/9/3,39.48365517
2012/9/4,43.19976389
2012/9/5,43.66427748
2012/9/6,43.66427748
2012/9/7,36.69657363
2012/9/8,31.58692413
2012/9/9,34.37400567
2012/9/10,40.41268235
2012/9/11,42.7352503
2012/9/12,40.87719594
2012/9/13,46.45135902
2012/9/14,39.48365517
2012/9/15,33.90949208
2012/9/16,34.83851926
2012/9/17,42.7352503
2012/9/18,40.87719594
2012/9/19,41.34170953
2012/9/20,45.05781825
2012/9/21,43.19976389
2012/9/22,32.51595131
2012/9/23,31.12241054
2012/9/24,39.94816876
2012/9/25,39.94816876
2012/9/26,41.34170953
2012/9/27,45.98684543
2012/9/28,41.34170953
2012/9/29,34.37400567
2012/9/30,37.16108722
2012/10/1,44.59330466
2012/10/2,42.27073671
2012/10/3,45.05781825
2012/10/4,44.59330466
2012/10/5,41.80622312
2012/10/6,31.12241054
2012/10/7,32.9804649
2012/10/8,41.34170953
2012/10/9,41.34170953
2012/10/10,41.34170953
2012/10/11,43.66427748
2012/10/12,39.48365517
2012/10/13,31.58692413
2012/10/14,31.12241054
2012/10/15,38.55462799
2012/10/16,43.19976389
2012/10/17,40.41268235
2012/10/18,44.59330466
2012/10/19,41.34170953
2012/10/20,30.19338336
2012/10/21,32.51595131
2012/10/22,42.27073671
2012/10/23,40.41268235
2012/10/24,40.41268235
2012/10/25,43.19976389
2012/10/26,38.55462799
2012/10/27,30.65789695
2012/10/28,32.05143772
2012/10/29,40.87719594
2012/10/30,39.01914158
2012/10/31,39.48365517
2012/11/1,40.87719594
2012/11/2,36.23206004
2012/11/3,32.05143772
2012/11/4,32.9804649
2012/11/5,44.59330466
2012/11/6,39.48365517
2012/11/7,39.94816876
2012/11/8,46.45135902
2012/11/9,39.94816876
2012/11/10,34.83851926
2012/11/11,31.58692413
2012/11/12,37.62560081
2012/11/13,43.19976389
2012/11/14,38.0901144
2012/11/15,41.80622312
2012/11/16,36.69657363
2012/11/17,32.05143772
2012/11/18,30.65789695
2012/11/19,38.0901144
2012/11/20,39.01914158
2012/11/21,40.41268235
2012/11/22,40.87719594
2012/11/23,40.41268235
2012/11/24,32.05143772
2012/11/25,32.51595131
2012/11/26,39.01914158
2012/11/27,38.0901144
