Date,MSFT
2012/8/2,21.0974026
2012/8/3,30.32751623
2012/8/4,7.911525974
2012/8/5,8.570819805
2012/8/6,25.71245942
2012/8/7,26.37175325
2012/8/8,21.0974026
2012/8/9,24.39387175
2012/8/10,19.1195211
2012/8/11,7.911525974
2012/8/12,9.230113636
2012/8/13,19.77881494
2012/8/14,21.75669643
2012/8/15,25.71245942
2012/8/16,20.43810877
2012/8/17,23.07528409
2012/8/18,13.84517045
2012/8/19,7.911525974
2012/8/20,27.69034091
2012/8/21,27.03104708
2012/8/22,30.32751623
2012/8/23,13.84517045
2012/8/24,30.98681006
2012/8/25,11.20799513
2012/8/26,6.592938312
2012/8/27,23.73457792
2012/8/28,21.75669643
2012/8/29,26.37175325
2012/8/30,25.05316558
2012/8/31,18.46022727
2012/9/1,13.18587662
2012/9/2,9.230113636
2012/9/3,15.16375812
2012/9/4,24.39387175
2012/9/5,30.98681006
2012/9/6,28.34963474
2012/9/7,28.34963474
2012/9/8,12.52658279
2012/9/9,7.252232143
2012/9/10,23.07528409
2012/9/11,21.75669643
2012/9/12,23.07528409
2012/9/13,28.34963474
2012/9/14,25.05316558
2012/9/15,12.52658279
2012/9/16,9.889407468
2012/9/17,26.37175325
2012/9/18,35.60186688
2012/9/19,21.0974026
2012/9/20,29.00892857
2012/9/21,24.39387175
2012/9/22,7.252232143
2012/9/23,8.570819805
2012/9/24,18.46022727
2012/9/25,25.71245942
2012/9/26,24.39387175
2012/9/27,33.62398539
2012/9/28,25.05316558
2012/9/29,13.18587662
2012/9/30,5.933644481
2012/10/1,27.69034091
2012/10/2,28.4387285
2012/10/3,27.69034091
2012/10/4,25.44517813
2012/10/5,32.92905405
2012/10/6,11.22581388
2012/10/7,5.987100737
2012/10/8,19.4580774
2012/10/9,24.69679054
2012/10/10,26.19356572
2012/10/11,27.69034091
2012/10/12,20.20646499
2012/10/13,9.729038698
2012/10/14,8.232263514
2012/10/15,32.92905405
2012/10/16,34.42582924
2012/10/17,31.43227887
2012/10/18,62.86455774
2012/10/19,54.63229423
2012/10/20,20.20646499
2012/10/21,11.97420147
2012/10/22,39.66454238
2012/10/23,38.1677672
2012/10/24,46.40003071
2012/10/25,42.65809275
2012/10/26,66.6064957
2012/10/27,22.45162776
2012/10/28,11.22581388
2012/10/29,39.66454238
2012/10/30,21.70324017
2012/10/31,35.92260442
2012/11/1,35.92260442
2012/11/2,37.41937961
2012/11/3,12.72258907
2012/11/4,11.97420147
2012/11/5,35.92260442
2012/11/6,26.94195332
2012/11/7,46.40003071
2012/11/8,35.17421683
2012/11/9,31.43227887
2012/11/10,13.47097666
2012/11/11,11.97420147
2012/11/12,27.69034091
2012/11/13,74.83875921
2012/11/14,53.13551904
2012/11/15,36.67099201
2012/11/16,38.1677672
2012/11/17,17.21291462
2012/11/18,11.22581388
2012/11/19,26.19356572
2012/11/20,37.41937961
2012/11/21,29.93550369
2012/11/22,14.21936425
2012/11/23,28.4387285
2012/11/24,13.47097666
2012/11/25,8.232263514
2012/11/26,31.43227887
2012/11/27,30.68389128
2012/11/28,32.92905405
2012/11/29,38.1677672
2012/11/30,37.41937961
2012/12/1,17.21291462
2012/12/2,7.483875921
2012/12/3,26.19356572
2012/12/4,43.40648034
2012/12/5,31.43227887
2012/12/6,39.66454238
2012/12/7,24.69679054
2012/12/8,17.21291462
2012/12/9,11.97420147
