Date,AAPL
2012/8/3,188.9404719
2012/8/4,70.17788956
2012/8/5,32.38979518
2012/8/6,178.1438735
2012/8/7,167.3472751
2012/8/8,156.5506767
2012/8/9,161.9489759
2012/8/10,161.9489759
2012/8/11,53.98299197
2012/8/12,48.58469277
2012/8/13,167.3472751
2012/8/14,215.9319679
2012/8/15,194.3387711
2012/8/16,199.7370703
2012/8/17,269.9149598
2012/8/18,113.3642831
2012/8/19,64.77959036
2012/8/20,323.8979518
2012/8/21,329.296251
2012/8/22,259.1183615
2012/8/23,226.7285663
2012/8/24,269.9149598
2012/8/25,221.3302671
2012/8/26,102.5676847
2012/8/27,318.4996526
2012/8/28,253.7200623
2012/8/29,226.7285663
2012/8/30,199.7370703
2012/8/31,215.9319679
2012/9/1,64.77959036
2012/9/2,48.58469277
2012/9/3,59.38129117
2012/9/4,215.9319679
2012/9/5,210.5336687
2012/9/6,210.5336687
2012/9/7,253.7200623
2012/9/8,80.97448795
2012/9/9,53.98299197
2012/9/10,248.3217631
2012/9/11,275.313259
2012/9/12,539.8299197
2012/9/13,421.0673374
2012/9/14,377.8809438
2012/9/15,134.9574799
2012/9/16,70.17788956
2012/9/17,356.287747
2012/9/18,340.0928494
2012/9/19,307.7030542
2012/9/20,264.5166607
2012/9/21,334.6945502
2012/9/22,107.9659839
2012/9/23,75.57618876
2012/9/24,291.5081566
2012/9/25,291.5081566
2012/9/26,280.7115582
2012/9/27,291.5081566
2012/9/28,253.7200623
2012/9/29,80.97448795
2012/9/30,59.38129117
2012/10/1,248.3217631
2012/10/2,243.253972
2012/10/3,228.0505987
2012/10/4,258.4573452
2012/10/5,278.7285096
2012/10/6,96.28803057
2012/10/7,55.74570191
2012/10/8,258.4573452
2012/10/9,298.9996739
2012/10/10,273.6607185
2012/10/11,288.8640917
2012/10/12,268.5929274
2012/10/13,70.94907516
2012/10/14,55.74570191
2012/10/15,253.3895541
2012/10/16,278.7285096
2012/10/17,258.4573452
2012/10/18,283.7963006
2012/10/19,309.1352561
2012/10/20,91.22023949
2012/10/21,65.88128408
2012/10/22,283.7963006
2012/10/23,471.3045707
2012/10/24,390.2199134
2012/10/25,501.7113172
2012/10/26,506.7791083
2012/10/27,116.5591949
2012/10/28,60.81349299
2012/10/29,162.1693147
2012/10/30,172.3048968
2012/10/31,329.4064204
2012/11/1,283.7963006
2012/11/2,319.2708382
2012/11/3,101.3558217
2012/11/4,65.88128408
2012/11/5,298.9996739
2012/11/6,258.4573452
2012/11/7,334.4742115
2012/11/8,395.2877045
2012/11/9,344.6097936
2012/11/10,101.3558217
2012/11/11,60.81349299
2012/11/12,273.6607185
2012/11/13,283.7963006
2012/11/14,273.6607185
2012/11/15,304.067465
2012/11/16,319.2708382
2012/11/17,96.28803057
2012/11/18,70.94907516
2012/11/19,324.3386293
2012/11/20,319.2708382
2012/11/21,243.253972
2012/11/22,101.3558217
2012/11/23,197.6438522
2012/11/24,86.15244841
2012/11/25,60.81349299
2012/11/26,268.5929274
2012/11/27,288.8640917
2012/11/28,263.5251363
2012/11/29,258.4573452
2012/11/30,258.4573452
2012/12/1,81.08465733
2012/12/2,45.61011975
2012/12/3,248.3217631
2012/12/4,217.9150166
2012/12/5,339.5420026
2012/12/6,415.5588688
2012/12/7,334.4742115
2012/12/8,126.6947771
2012/12/9,65.88128408
2012/12/10,273.6607185
2012/12/11,268.5929274
2012/12/12,258.4573452
2012/12/13,263.5251363
2012/12/14,329.4064204
2012/12/15,121.626986
2012/12/16,70.94907516
2012/12/17,390.2199134
2012/12/18,354.7453758
2012/12/19,288.8640917
2012/12/20,268.5929274
2012/12/21,273.6607185
2012/12/22,86.15244841
2012/12/23,50.67791083
2012/12/24,182.440479
2012/12/25,70.94907516
2012/12/26,197.6438522
2012/12/27,217.9150166
2012/12/28,243.253972
2012/12/29,91.22023949
2012/12/30,70.94907516
2012/12/31,258.4573452
2013/1/1,121.626986
2013/1/2,331.7099618
2013/1/3,298.5389656
2013/1/4,276.4249682
2013/1/5,99.51298854
2013/1/6,66.34199236
2013/1/7,243.253972
2013/1/8,243.253972
2013/1/9,243.253972
2013/1/10,254.3109707
2013/1/11,254.3109707
2013/1/12,77.39899108
2013/1/13,55.28499363
2013/1/14,386.9949554
2013/1/15,442.279949
2013/1/16,409.1089529
2013/1/17,375.9379567
2013/1/18,309.5959643
2013/1/19,121.626986
2013/1/20,88.45598981
2013/1/21,143.7409834
2013/1/22,364.880958
2013/1/23,718.7049172
2013/1/24,1105.699873
2013/1/25,751.8759134
2013/1/26,232.1969733
2013/1/27,110.5699873
2013/1/28,431.2229503
2013/1/29,420.1659516
2013/1/30,386.9949554
2013/1/31,309.5959643
2013/2/1,320.6529631
2013/2/2,110.5699873
2013/2/3,77.39899108
2013/2/4,265.3679694
2013/2/5,298.5389656
2013/2/6,265.3679694
2013/2/7,309.5959643
2013/2/8,364.880958
2013/2/9,110.5699873
2013/2/10,66.34199236
2013/2/11,298.5389656
2013/2/12,320.6529631
2013/2/13,298.5389656
2013/2/14,254.3109707
2013/2/15,243.253972
2013/2/16,77.39899108
2013/2/17,55.28499363
2013/2/18,110.5699873
2013/2/19,243.253972
2013/2/20,254.3109707
2013/2/21,221.1399745
2013/2/22,221.1399745
2013/2/23,77.39899108
2013/2/24,55.28499363
2013/2/25,199.0259771
2013/2/26,243.253972
2013/2/27,298.5389656
2013/2/28,243.253972
2013/3/1,254.3109707
2013/3/2,88.45598981
2013/3/3,55.28499363
2013/3/4,287.4819669
2013/3/5,342.7669605
2013/3/6,276.4249682
2013/3/7,243.253972
2013/3/8,265.3679694
2013/3/9,77.39899108
2013/3/10,55.28499363
2013/3/11,232.1969733
2013/3/12,243.253972
2013/3/13,232.1969733
2013/3/14,221.1399745
2013/3/15,265.3679694
2013/3/16,88.45598981
2013/3/17,66.34199236
2013/3/18,265.3679694
2013/3/19,265.3679694
2013/3/20,221.1399745
2013/3/21,221.1399745
2013/3/22,232.1969733
2013/3/23,88.45598981
2013/3/24,55.28499363
2013/3/25,254.3109707
2013/3/26,232.1969733
2013/3/27,221.1399745
2013/3/28,232.1969733
2013/3/29,154.7979822
2013/3/30,44.2279949
2013/3/31,44.2279949
2013/4/1,221.1399745
2013/4/2,242.5406172
2013/4/3,221.1399745
2013/4/4,214.006427
2013/4/5,228.2735221
2013/4/6,71.33547565
2013/4/7,64.20192809
2013/4/8,206.8728794
2013/4/9,199.7393318
2013/4/10,206.8728794
2013/4/11,221.1399745
2013/4/12,199.7393318
2013/4/13,57.06838052
2013/4/14,42.80128539
2013/4/15,199.7393318
2013/4/16,206.8728794
2013/4/17,370.9444734
