Date,GOOG
2012/8/4,245.1404397
2012/8/5,228.7977437
2012/8/6,220.6263957
2012/8/7,250.588005
2012/8/8,250.588005
2012/8/9,256.0355704
2012/8/10,239.6928744
2012/8/11,239.6928744
2012/8/12,239.6928744
2012/8/13,239.6928744
2012/8/14,247.8642224
2012/8/15,228.7977437
2012/8/16,226.0739611
2012/8/17,236.9690917
2012/8/18,234.2453091
2012/8/19,236.9690917
2012/8/20,256.0355704
2012/8/21,226.0739611
2012/8/22,250.588005
2012/8/23,231.5215264
2012/8/24,236.9690917
2012/8/25,247.8642224
2012/8/26,226.0739611
2012/8/27,256.0355704
2012/8/28,264.2069184
2012/8/29,242.416657
2012/8/30,242.416657
2012/8/31,245.1404397
2012/9/1,231.5215264
2012/9/2,234.2453091
2012/9/3,231.5215264
2012/9/4,253.3117877
2012/9/5,242.416657
2012/9/6,234.2453091
2012/9/7,264.2069184
2012/9/8,250.588005
2012/9/9,239.6928744
2012/9/10,242.416657
2012/9/11,253.3117877
2012/9/12,250.588005
2012/9/13,258.759353
2012/9/14,264.2069184
2012/9/15,245.1404397
2012/9/16,228.7977437
2012/9/17,250.588005
2012/9/18,242.416657
2012/9/19,256.0355704
2012/9/20,272.3782663
2012/9/21,266.930701
2012/9/22,245.1404397
2012/9/23,220.6263957
2012/9/24,258.759353
2012/9/25,264.2069184
2012/9/26,253.3117877
2012/9/27,272.3782663
2012/9/28,264.2069184
2012/9/29,253.3117877
2012/9/30,242.416657
2012/10/1,269.6544837
2012/10/2,262.1640814
2012/10/3,254.673679
2012/10/4,265.9092825
2012/10/5,258.4188802
2012/10/6,243.4380755
2012/10/7,254.673679
2012/10/8,269.6544837
2012/10/9,269.6544837
2012/10/10,258.4188802
2012/10/11,273.3996848
2012/10/12,265.9092825
2012/10/13,243.4380755
2012/10/14,228.4572709
2012/10/15,269.6544837
2012/10/16,250.9284779
2012/10/17,250.9284779
2012/10/18,374.5201162
2012/10/19,344.5585069
2012/10/20,250.9284779
2012/10/21,250.9284779
2012/10/22,292.1256907
2012/10/23,273.3996848
2012/10/24,265.9092825
2012/10/25,262.1640814
2012/10/26,254.673679
2012/10/27,224.7120697
2012/10/28,217.2216674
2012/10/29,250.9284779
2012/10/30,262.1640814
2012/10/31,269.6544837
2012/11/1,277.144886
2012/11/2,265.9092825
2012/11/3,250.9284779
2012/11/4,239.6928744
2012/11/5,262.1640814
2012/11/6,250.9284779
2012/11/7,243.4380755
2012/11/8,262.1640814
2012/11/9,258.4188802
2012/11/10,235.9476732
2012/11/11,228.4572709
2012/11/12,247.1832767
2012/11/13,239.6928744
2012/11/14,247.1832767
2012/11/15,250.9284779
2012/11/16,250.9284779
2012/11/17,235.9476732
2012/11/18,232.2024721
2012/11/19,254.673679
2012/11/20,247.1832767
2012/11/21,247.1832767
2012/11/22,243.4380755
2012/11/23,224.7120697
2012/11/24,232.2024721
2012/11/25,228.4572709
2012/11/26,247.1832767
2012/11/27,262.1640814
2012/11/28,265.9092825
2012/11/29,265.9092825
2012/11/30,273.3996848
2012/12/1,250.9284779
2012/12/2,239.6928744
2012/12/3,265.9092825
2012/12/4,262.1640814
2012/12/5,262.1640814
2012/12/6,265.9092825
2012/12/7,269.6544837
2012/12/8,265.9092825
2012/12/9,232.2024721
2012/12/10,280.8900872
2012/12/11,254.673679
2012/12/12,265.9092825
2012/12/13,273.3996848
2012/12/14,265.9092825
2012/12/15,250.9284779
2012/12/16,247.1832767
2012/12/17,262.1640814
2012/12/18,262.1640814
2012/12/19,258.4188802
2012/12/20,265.9092825
2012/12/21,254.673679
2012/12/22,239.6928744
2012/12/23,254.673679
2012/12/24,269.6544837
2012/12/25,258.4188802
2012/12/26,258.4188802
2012/12/27,228.4572709
2012/12/28,262.1640814
2012/12/29,262.1640814
2012/12/30,239.6928744
2012/12/31,250.9284779
2013/1/1,258.4188802
2013/1/2,270.8728021
2013/1/3,261.5323607
2013/1/4,261.5323607
2013/1/5,255.3053997
2013/1/6,249.0784387
2013/1/7,258.4188802
2013/1/8,258.4188802
2013/1/9,258.4188802
2013/1/10,267.7593216
2013/1/11,264.6458412
2013/1/12,245.9649583
2013/1/13,261.5323607
2013/1/14,270.8728021
2013/1/15,255.3053997
2013/1/16,283.3267241
2013/1/17,267.7593216
2013/1/18,273.9862826
2013/1/19,261.5323607
2013/1/20,236.6245168
2013/1/21,249.0784387
2013/1/22,289.553685
2013/1/23,311.3480484
2013/1/24,273.9862826
2013/1/25,258.4188802
2013/1/26,245.9649583
2013/1/27,239.7379973
2013/1/28,273.9862826
2013/1/29,264.6458412
2013/1/30,255.3053997
2013/1/31,270.8728021
2013/2/1,280.2132436
2013/2/2,245.9649583
2013/2/3,224.1705949
2013/2/4,267.7593216
2013/2/5,255.3053997
2013/2/6,258.4188802
2013/2/7,261.5323607
2013/2/8,261.5323607
2013/2/9,255.3053997
2013/2/10,239.7379973
2013/2/11,255.3053997
2013/2/12,270.8728021
2013/2/13,280.2132436
2013/2/14,264.6458412
2013/2/15,258.4188802
2013/2/16,252.1919192
2013/2/17,252.1919192
2013/2/18,258.4188802
2013/2/19,283.3267241
2013/2/20,273.9862826
2013/2/21,261.5323607
2013/2/22,270.8728021
2013/2/23,233.5110363
2013/2/24,242.8514778
2013/2/25,252.1919192
2013/2/26,252.1919192
