,Date,Open,High,Low,Close,AdjClose,Volume,Daily Return,AMZN
0,2012/6/18,10.86400032,11.18799973,10.83650017,11.13300037,11.13300037,67392000,,17.28095306
1,2012/6/19,11.16300011,11.26000023,11.08300018,11.20149994,11.20149994,54332000,0.00615284,11.96373673
2,2012/6/20,11.22550011,11.23700047,11.04199982,11.15100002,11.15100002,48888000,-0.004508317,14.6223449
3,2012/6/21,11.19200039,11.30150032,11.02600002,11.0284996,11.0284996,56860000,-0.010985599,7.97582449
4,2012/6/22,11.09150028,11.12549973,10.96749973,11.1079998,11.1079998,43750000,0.007208614,13.29304082
5,2012/6/25,11.01500034,11.0795002,10.89999962,11.00349998,11.00349998,47646000,-0.009407618,15.95164898
6,2012/6/26,11.07250023,11.31949997,11.07250023,11.28050041,11.28050041,75082000,0.025173847,18.61025714
7,2012/6/27,11.25049973,11.375,11.16499996,11.28100014,11.28100014,55984000,4.43E-05,14.6223449
8,2012/6/28,11.1960001,11.23099995,10.9375,11.06550026,11.06550026,59896000,-0.019102905,13.29304082
9,2012/6/29,11.23499966,11.41749954,11.18550014,11.41749954,11.41749954,72288000,0.031810517,11.96373673
10,2012/7/2,11.46500015,11.46700001,11.31700039,11.4659996,11.4659996,46614000,0.004247871,14.6223449
11,2012/7/3,11.45699978,11.47649956,11.37950039,11.47649956,11.47649956,26634000,0.000915747,8.64047653
12,2012/7/5,11.43099976,11.52499962,11.32649994,11.35299969,11.35299969,53646000,-0.01076111,10.63443265
13,2012/7/6,11.31750011,11.44499969,11.20899963,11.25249958,11.25249958,64064000,-0.008852295,16.61630102
14,2012/7/9,11.25,11.30000019,11.17249966,11.25249958,11.25249958,38440000,0,13.95769286
15,2012/7/10,11.3125,11.35700035,10.91399956,10.97500038,10.97500038,59642000,-0.024661116,18.61025714
16,2012/7/11,10.94750023,11.08699989,10.7670002,10.91849995,10.91849995,54694000,-0.005148103,17.28095306
17,2012/7/12,10.83049965,10.86499977,10.63049984,10.76799965,10.76799965,52324000,-0.013783972,16.61630102
18,2012/7/13,10.78149986,10.96549988,10.69400024,10.91950035,10.91950035,44438000,0.014069531,12.62838878
19,2012/7/16,10.82999992,10.91549969,10.72299957,10.80049992,10.80049992,40084000,-0.010897974,9.969780612
20,2012/7/17,10.87250042,10.89700031,10.69799995,10.8465004,10.8465004,39740000,0.004259107,18.61025714
21,2012/7/18,10.80749989,10.93350029,10.78549957,10.87349987,10.87349987,41860000,0.002489234,17.28095306
22,2012/7/19,11.03649998,11.375,11.03450012,11.30850029,11.30850029,108988000,0.040005557,19.27490918
23,2012/7/20,11.26799965,11.46949959,11.26449966,11.41450024,11.41450024,83400000,0.009373475,11.96373673
24,2012/7/23,11.23600006,11.32900047,11.07699966,11.30049992,11.30049992,110302000,-0.009987325,9.969780612
25,2012/7/24,11.3135004,11.33049965,11.0614996,11.15200043,11.15200043,100174000,-0.013140966,17.9456051
26,2012/7/25,11.10000038,11.125,10.7954998,10.85249996,10.85249996,72934000,-0.02685621,23.92747347
27,2012/7/26,11,11.07250023,10.74750042,11.00049973,11.00049973,138748000,0.013637389,66.46520408
28,2012/7/27,11.26249981,11.91699982,11.22500038,11.86600018,11.86600018,226278000,0.078678285,59.15403163
29,2012/7/30,11.85000038,12.0369997,11.70349979,11.80449963,11.80449963,74728000,-0.005182922,17.28095306
30,2012/7/31,11.75500011,11.81499958,11.58049965,11.66499996,11.66499996,69072000,-0.011817499,27.25073367
31,2012/8/1,11.70699978,11.71899986,11.53499985,11.60449982,11.60449982,50876000,-0.005186468,20.60421326
32,2012/8/2,11.52799988,11.71700001,11.43299961,11.54049969,11.54049969,60962000,-0.005515113,14.6223449
33,2012/8/3,11.70149994,11.82450008,11.65149975,11.74849987,11.74849987,56506000,0.018023499,12.62838878
34,2012/8/6,11.77799988,11.7869997,11.69050026,11.69950008,11.69950008,36874000,-0.004170727,13.95769286
35,2012/8/7,11.70650005,11.89999962,11.66250038,11.82800007,11.82800007,41166000,0.010983374,19.93956122
