,Date,Open,High,Low,Close,AdjClose,Volume,Daily Return,AAPL
0,2012/6/18,20.3914299,20.99607086,20.37035751,20.92071342,17.88758659,440412000,,187.3981007
1,2012/6/19,20.83571434,21.0714283,20.82500076,20.97892952,17.93736267,361404400,0.002782701,187.3981007
2,2012/6/20,21.00749969,21.0446434,20.74285698,20.91928673,17.8863678,358943200,-0.002842985,159.6354191
3,2012/6/21,20.90857124,21.00785637,20.62285614,20.63107109,17.63993645,326351200,-0.013777508,145.7540783
4,2012/6/22,20.68000031,20.79249954,20.55071449,20.78928566,17.77521133,284471600,0.007668752,138.8134079
5,2012/6/25,20.61785698,20.70714378,20.37035751,20.38464355,17.42923355,304382400,-0.019463973,131.8727375
6,2012/6/26,20.40464211,20.51749992,20.26178551,20.42964363,17.46770668,276536400,0.002207548,131.8727375
7,2012/6/27,20.5357132,20.59785652,20.42571449,20.5178566,17.5431366,202997200,0.004317891,131.8727375
8,2012/6/28,20.41678619,20.5,20.20035744,20.32321358,17.37671661,282836400,-0.009486518,145.7540783
9,2012/6/29,20.6428566,20.8571434,20.5089283,20.8571434,17.83323288,421500800,0.026271919,166.5760895
10,2012/7/2,20.88321495,21.19535637,20.84285736,21.16142845,18.09339905,400092000,0.014589009,145.7540783
11,2012/7/3,21.24571419,21.4285717,21.2142868,21.40749931,18.30379295,241712800,0.011628273,156.5506767
12,2012/7/5,21.44857025,21.94071388,21.41607094,21.78357124,18.62534142,484383200,0.017567298,183.5421727
13,2012/7/6,21.68178558,21.72999954,21.48500061,21.63857079,18.50136757,418930400,-0.006656414,199.7370703
14,2012/7/9,21.61785698,21.92499924,21.57535744,21.92464256,18.74596405,379405600,0.013220456,134.9574799
15,2012/7/10,22.07035637,22.13821411,21.61821365,21.7217865,18.5725193,511957600,-0.009252423,183.5421727
16,2012/7/11,21.64714241,21.70214272,21.32928658,21.58678627,18.45709038,469322000,-0.006214969,156.5506767
